portfolio	website	year	summary		
Metadata	http://www.metadata.io	May-16	Fuels Marketing Campaigns With Opt-In Marketing Qualified Leads Using Patent-Pending Technology That Taps Into Your CRM Data To Automatically Analyze And Map Your Target Persona. Metadata Then Uses Look-A-Like Modeling To Target Relevant Prospects To Optimize Your Paid Media Spend And Boost Conversion Rates By 3-5X. Among Our Featured Customers Are Datawatch Atscale Concurrent Cisco UBM Datawatch OOMA And Others.		
Mobile Enerlytics	http://mobileenerlytics.com	May-16	End-to-End Solutions that Enable Energy-Aware Mobile App Development.		
Multitude	http://www.gomultitude.com/	May-16	Cloud Software Service For Aggregating Unifying and Interpreting Air Quality Data For Cities and Device OEMs.		
Proxloop	http://proxloop.com/	May-16	Personalizes the Customer Experience In-Store and Help Retailers Make the Creation of Customer Loyalty Easy.		
Quantiply Corporation	http://quantiply.com/	May-16	Delivers Data-Native Self-Learning Applications That Can “Sense And Learn” Which Empowers Business Users in Medium-To-Large Enterprises To Improve Business Outcomes via Continuous Deep Learning.		
Resoltz	https://www.resoltz.com/princeton	May-16	College and University Wellness Application To Create a Culture of Health Throughout the Country.		
Sempre Health	http://www.semprehealth.com/	May-16	Bringing Behavior-Based Individualized Pricing to Healthcare.		
Swipes	http://swipesapp.com/	May-16	Collaboration Tool that Helps Teams Easily Manage Projects By Integrating the Entire Process in One Place (Gmail Slack Dropbox Office 365 etc).		
Volans-i	http://www.volans-i.com/	May-16	Fastest & Cheapest On-Demand Delivery Service For Time-Sensitive Items Using High-Speed Long-Range Drones.		
WeLink	http://welink.com/	May-16	Deep Learning Platform for Identifying Threats on Social Media.		
YotaScale	http://www.yotascale.com/	May-16	Enterprise-Grade Cloud Systems Management Platform That Balances Performance Availability Security And Cost Across The Customer’s Cloud Infrastructure Deriving The Optimal Operating Parameters And Then Managing It All Autonomously.		
Amodo	http://www.amodo.eu/	Jan-16	Connected Insurance Client Platform. Insurers Can Connect With Clients Through IoT Consumer Devices	 Improving The Risk Prediction Capability And Building Communication Channels.	
Crysp	http://www.crysp.com/	Jan-16	Smart User Verification and Fraud Detection Leveraging Context and Behavioral Biometrics		
DeferPanic	https://deferpanic.com/	Jan-16	Eliminating Security Problems Every Company Has With Unikernel Based Infrastructure.		
Freemit	http://freemit.com	Jan-16	Makes It Easy and Cheap to Send Spend Pay and Get Money in Multiple Currencies.		
NitroCam	http://www.nitrocam.io/	Jan-16	Transforms Passive Stale Cameras Into Smart Connected Objects.		
PalleTech	http://palletech.co/	Jan-16	Makes Sure Companies Never Lose Sight Of Their Cargo.		
Performance Sherpa	http://www.theperformancesherpa.com/	Jan-16	Peak Performance For Your Big Data Apps.		
Pomello	https://www.pomello.com/	Jan-16	Employee Lifecycle Analytics As A Service.		
Quicklogix	http://www.quicklogix.com/	Jan-16	From Questions To Insights In Seconds. Cognitive Data Integration Platform Combined With NLP Based Analytics On Enterprise Data.		
RageOn	http://www.rageon.com/	Jan-16	Merchandising Made Easy.		
SalesIntel	http://www.salesintel.com/	Jan-16	Data Science powers the missing link in Relationship Management for Enterprise Sales.		
Skyline	http://www.theSkyline.io	Jan-16	Framework For Future Enterprises To Build Their Own Fully-Customized Communication		
Switch Automation	https://www.switchautomation.com/	Jan-16	Enterprise Operations Platform For Portfolios Of Buildings. Connects Systems And Devices To Cloud Hosted Building Management System For Real-Time Monitoring And Controls. Management And BI Application In Days. Looking To Change The Way Enterprise Software Is Developed With 90% Lower Cost And Consumer Mobile App User Experience		 Without Need For IT Pros Or Consultants.
Ubicall	http://www.ubicall.com/	Jan-16	Smart Customer Service Through A Code-Free Platform To Visually Route Customers To Different Support Channels On Mobile.		
ClearMetal	http://www.clearmetal.com/home	Sep-15	Data Science to Solve The Most Complex Problems in Shipping & Logistics		
CLEER Networks		Sep-15	Enables The Delivery Of Highly Interactive Digital Media And Applications From the Cloud — Cloud-Delivered Streaming Games Augmented And Virtual Reality Interactive IPTV Virtual Desktops and So On. The Current “”””Best-Effort”””” Internet Fails Miserably Especially During Peak Hours. Our Approach is Extremely Compelling For It Delivers Extremely High-Performance Networking and Awesome User Experiences While Slashing Infrastructure Costs at the Same Time.		
DataWallet	https://www.datawallet.io/	Sep-15	C2B Data Marketplace That Allows Companies To Source Any Personal Online Data Possible Based Upon Expressive Personal Consumer Consent.		
DeltaBid	https://www.deltabid.com/	Sep-15	Easy-To-Use Collaboration Tool For Mid-Market Companies For Running RFPs And Managing Supplier Interactions. We Have A Strong Procurement Background With 30+ Years Of Experience.		
Lean QbD	http://www.leanqbd.com/	Sep-15	Saas For Pharmaceutical/Biotech Scientists To Accelerate Drug Development-To-Submission.		
Maxerience	http://www.maxerience.com	Sep-15	Builds Embedded Visual Intelligence Systems For Object Identification And Anamoly Detection In Dynamic Environments Currently Deployed In The Industrial Automation And Retail Spaces.		
mPharma	https://www.mpharma.co	Sep-15	Pharmaceutical Data Analytics And Digital Marketing Provider For Emerging Markets Starting In Africa.		
OpenChannel	https://openchannel.io/	Sep-15	Your Own App Marketplace In Minutes. The Only Turnkey Solution That Allows Companies To Create Their Own App Marketplace For Partners And Developers Providing A 10x Reduction In Total Cost Of Ownership And 90% Decrease In Time To Market.		
Positron Dynamics	http://www.positrondynamics.com	Sep-15	Putting Antimatter To Work.		
Rigetti Quantum Computing	http://www.rigetti.com	Sep-15	General-Purpose Commercial Quantum Supercomputing Systems.		
Timekit	http://timekit.io	Sep-15	Scheduling Infrastructure Built For Developers. An API That Developers Can Use To Build Products With Calendars Scheduling And Appointment Flows Deeply Integrated.		
WholeMeaning	http://www.wholemeaning.com	Sep-15	Turns Customer Feedback Into Revenue By Distilling User-Specific Insights For Better Decision Making.		
Zycada Networks	http://www.zycada.com	Sep-15	SDN/SAAS Player Taking A Fundamentally Different Approach To Solving Mobile Network Unreliabilty Caused By Factors Such As Network Congestion Data Packet Loss Etc.		
Exabyte.io	http://exabyte.io/	May-15	Team of Top Tier Scientists and Engineers Building the Fastest Way to Discover New Materials.		
InsideWarehouse	http://www.insidewarehouse.com/	May-15	Bringing eCommerce Into Every Content Site/App.		
Kügar	http://www.kugar.com/	May-15	Highly Versatile Robotics Platform Providing Solutions in Manufacturing and Materials Handling.		
Litmus Automation	http://litmusautomation.com/	May-15	End-to-End IoT Cloud PaaS for Connecting Devices Sensors or Smart Machines to Enterprise Applications like ERP CRM or Bigdata.		
NML Stream	http://www.nightingaleanalytics.com/	May-15	Decision Software for Streaming Data.		
Qbox	http://qbox.io/	May-15	Elasticsearch as a Service the Hugely Popular Open Source NoSQL Database.		
QC Ware	http://qcware.com/	May-15	Bringing Quantum Computing Power to the Enterprise. We are Developing Application Software that Runs on QC Machines.		
Sensorhound	http://www.sensorhound.com/	May-15	Turnkey Software Solution That Reduces Operations Costs and Improves Reliability and Security of the Internet of Things.		
Thinnect	http://www.thinnect.com/	May-15	Enabling Mist Computing for IoT – Eliminating Configuration and Deployment Overheads While Providing a Distributed Embedded Application Platform for IoT.		
28msec	http://www.28msec.com	Jan-15	Virtual Databases		
47Line	http://www.47line.com/	Jan-15	Building Products to Simplify Enterprise Cloud Adoption. The flagship Product Batchly Helps Enterprises Achieve Batch Processing Nirvana Using Public Cloud.		
Carrum Health	http://www.carrumhealth.com/	Jan-15	Marketplace for Planned Healthcare Procedures.		
Cellabus	https://www.cellabus.com/	Jan-15	Device-Centric Classroom Management and Content Distriubtion Platform for the Education Vertical.		
Cobalt	https://cobalt.io	Jan-15	An Application Security Marketplace. We Source Security Researchers From Around the World and Connect Them With Businesses. Crowd-Powered Security Audits and Bug Bounty Programs.		
LaunchDarkly	http://launchdarkly.com/	Jan-15	Modern Product Managment Platform to Manage and Optimize Software.		
MoEngage	http://www.moengage.com/	Jan-15	Marketing Automation Platform Pioneering User-Level Personalization Solving the Problem of Churn in Mobile Apps.		
NanoPay	https://nanopay.net/	Jan-15	Next-Gen Payments Platform for Online and Retail. Secure Fast and Lower Cost.		
OneMob	https://www.onemob.com/	Jan-15	Real-Time Messaging and Engagement Platform for Mobile SaaS.		
Pareto Biotechnologies		Jan-15	Synthetic Biology Platform to Generate “Designer Molecules.”		
Scoro	http://www.scoro.com/	Jan-15	The Ultimate Control Hub for Companies to Access Manage and Automate Data Across Existing Productivity CRM and Billing Applications.		
WorkHands	https://www.workhands.us/	Jan-15	The Blue Collar Web.		
Zipline	http://www.retailzipline.com/	Jan-15	SaaS Solution that Drives Sales for National Retailers by Improving the Actionable Communication Between HQ and the Stores. Based on 10 Years of Research and Testing Around Store Operations and Performance.		
3TEN8	http://www.3ten8.com/	Sep-14	Autonomous Networks. Using ML and AI to automate network operations.		
Featherlight	http://www.featherlight.co/	Sep-14	Performance Coaching Platform That Measures & Improves Employee Performance in Real-Time.		
Freedcamp	https://freedcamp.com/	Sep-14	Web-Based Collaboration Platform that Consolidates Multiple Tools in One Place Under A Freemium Model.		
Groove	http://www.grooveapp.com/	Sep-14	Quantified Sales. Groove Enables Companies to Collect Relationship Data and Use it to Improve Every Customer Interaction.		
Ladera Labs	http://www.laderalabs.com/	Sep-14	Internet-of-Things Company Focused on Home Automation (Nest for Irrigation).		
MindOps	http://mindops.com/	Sep-14	MindOps is the OS for Recognition on iOS Android Glass. We Have Created the First Deep Learning Based Neural Network for Text.		
Perfect Price	http://perfectprice.io	Sep-14	Price Optimization-as-a-Service Leveraging State of the Art Machine Learning.		
Tyche	http://www.tycherisk.co/	Sep-14	Machine Learning / Artificial Intelligence Legal Claim Valuation.		
Xendo	https://xen.do/	Sep-14	Cloud Search for Business.		
3DPrinterOS	http://www.secured3d.com/	May-14	First to Market – 3D Printing Cloud platform with Copyright Encryption and Centralized Command and Control.		
BadgerMaps	https://www.badgermapping.com/	May-14	Mobile Service that Helps Sales People Fit More Meetings into their Day While Increasing the Flow of Data Back into their Company’s CRM System.		
Domos Labs	http://www.domos.no/	May-14	Cloud-based Software for WiFi Routers that Make Connected Home Technology Seamless and Invisible.		
Eventable	https://eventable.com/	May-14	Building the Event Layer for the Web. Our Tools and APIs Enable Brands and Organizations to Send Events to Any Calendar.		
Matternet	http://mttr.net/	May-14	UAV Networks for the Transportation of Goods.		
Mavin	http://www.mavin.co/	May-14	Digital Media Platform That Enables Low Cost Mobile Data Plans for Prepaid Smartphone Users.		
NeoReach	https://neoreach.com/	May-14	NeoReach Allows Enterprise Companies to Scale Influencer Marketing Programs. Advertisers Can Buy Traffic Directly from Influencers Using A Cost-Per-Click Model.		
Oomnitza	https://www.oomnitza.com/	May-14	Mobile First Enterprise IT Asset Management Solution Focused on the Emerging Connected World That Helps Companies Better Track IT Assets and the Information on Them.		
ShoppinPal	http://www.shoppinpal.com/	May-14	Embeddable M-Commerce Platform that Captures Lost Sales for Brick & Mortar Retailers.		
SupplyBetter		May-14	Custom mechanical part sourcing. Simplified		
Waygum	http://waygum.io/	May-14	Waygum Offers an End-to-End Mobile App Platform for the IOIT (Internet of Industrial Things or Industrial Internet).		
AppSlingr		Jan-14	Brings Seamless Access to Desktop Apps from the Web Mobile or Tablet Devices and Integrates with Cloud File Storage Systems.		
Assemblage	http://www.cisco.com/web/about/ac49/ac0/ac1/ac259/assemblage.html	Jan-14	Real-time Collaboration with Extremely Simple One-Click Tools: Kollaborate.io Presentation.io and Same.io.		
CirroSecure		Jan-14	Public Cloud Data Security Monitoring Analytics and Risk Remediation for Fortune 5000 Enterprises.		
Drone.io	https://drone.io/	Jan-14	Automated Software Delivery Using Docker.		
Frontleaf	https://www.frontleaf.com/	Jan-14	Actionable Insights To Reduce Customer Churn In The Subscription Economy.		
Mohound		Jan-14	App Marketing Platform With ROI Analysis And Integrated Big-Data Analysis For Automated Decision Making.		
PathDrugomics	http://www.pathdrugomics.com/	Jan-14	Simulation Testing And Predictive Analytics PaaS For Early Stage Medical And Chemical Research.		
Peer.im		Jan-14	Enterprise Messenger For Your Team And Your Customers.		
Placements	http://placementsapp.com/	Jan-14	Painless Premium Ad Platform For Publishers.		
rENIAC	http://www.reniac.com/	Jan-14	Solve Customer’s Need For Real-Time Analytics (FAST BIG DATA) By Moving Their Current Batch Processing To Real-Time Online Processing.		
Sense.ly	http://sense.ly/	Jan-14	Patient-frendly Tool That Helps Clinicians Better Manage Their Chronically Ill Patients.		
Upshot		Jan-14	The Only Mobile Reporting App That Allows You To *Create* New Reports On Your Mobile Device.		
Airpost	http://www.airpost.io/	Sep-13	Cloud Security Management		
BrightFunnel	http://www.brightfunnel.com/	Sep-13	“Splunk for CMOs” – Revenue Insights Across Marketing & CRM Data.		
Discover.ly	http://discover.ly/	Sep-13	A Tool to Discover Opportunities in Your Connections Both Personal and Professional.		
